iter	Logloss
0	0.5100807635
1	0.4411064852
2	0.3915716991
3	0.3650180721
4	0.3473323445
5	0.3386206206
6	0.3304602708
7	0.3217737108
8	0.307673034
9	0.299307615
10	0.295674295
11	0.2935141667
12	0.2835887054
13	0.281691882
14	0.2787845979
15	0.2737291115
16	0.2713019665
17	0.2667332843
18	0.2642938424
19	0.260412726
20	0.259269048
21	0.257781368
22	0.2564908275
23	0.255745662
24	0.2525407229
25	0.2505515918
26	0.2485805909
27	0.2473813534
28	0.2451851729
29	0.2442374218
30	0.2430531907
31	0.2423669098
32	0.2410877295
33	0.240182706
34	0.2396613045
35	0.2381525794
36	0.2370818709
37	0.2362990056
38	0.2356069547
39	0.2350127766
40	0.2341080808
41	0.2328275329
42	0.2317730216
43	0.2304749968
44	0.2293388938
45	0.2280184766
46	0.2268379033
47	0.2253910971
48	0.2250121641
49	0.2243889531
