iter	Passed	Remaining
0	27	1367
1	51	1242
2	78	1225
3	106	1227
4	142	1284
5	171	1259
6	201	1238
7	228	1198
8	268	1221
9	339	1358
10	411	1457
11	488	1545
12	542	1544
13	572	1473
14	602	1405
15	628	1335
16	652	1266
17	677	1204
18	704	1149
19	733	1100
20	766	1058
21	811	1033
22	860	1010
23	921	998
24	1051	1051
25	1126	1040
26	1161	989
27	1198	941
28	1231	891
29	1260	840
30	1289	790
31	1317	741
32	1347	694
33	1377	648
34	1411	604
35	1450	563
36	1499	526
37	1556	491
38	1666	470
39	1773	443
40	1837	403
41	1877	357
42	1911	311
43	1971	268
44	2003	222
45	2032	176
46	2070	132
47	2107	87
48	2172	44
49	2257	0
