iter	Logloss
0	0.6139663665
1	0.5702732453
2	0.5365649264
3	0.4999280434
4	0.4777435116
5	0.4633334107
6	0.4504514667
7	0.4366853866
8	0.4298301962
9	0.4225936297
10	0.4149069445
11	0.4077697629
12	0.403089496
13	0.3989299626
14	0.3951386684
15	0.3924261612
16	0.3900537783
17	0.3874295787
18	0.384055358
19	0.3806177931
20	0.3788632508
21	0.3759881392
22	0.3722005271
23	0.3704815262
24	0.3680231449
25	0.3658503433
26	0.3644592036
27	0.3610317488
28	0.3594439922
29	0.3576763754
30	0.355560802
31	0.3538395544
32	0.3524344665
33	0.350954676
34	0.3501027737
35	0.3488214723
36	0.3460185357
37	0.3446992277
38	0.3424656406
39	0.3409869422
40	0.3399323383
41	0.3380053936
42	0.3367331413
43	0.3354521519
44	0.333352087
45	0.3304702353
46	0.3290431173
47	0.3265624875
48	0.3238557531
49	0.3214778471
50	0.3207851168
51	0.3193136578
52	0.3187987907
53	0.3172617095
54	0.3160997636
55	0.3151740638
56	0.3136789833
57	0.312581193
58	0.3111779461
59	0.3105460013
60	0.3087229348
61	0.3073277698
62	0.3062750381
63	0.3050082154
64	0.3030227006
65	0.3019711859
66	0.3011622205
67	0.3001901826
68	0.2987889327
69	0.2978343379
70	0.2954292219
71	0.2945347573
72	0.2928651837
73	0.2913302868
74	0.290303673
75	0.2893027401
76	0.288183731
77	0.2874440698
78	0.2866022465
79	0.2859775099
80	0.2851182122
81	0.2836167973
82	0.2826757451
83	0.2821263038
84	0.2814642471
85	0.2806927578
86	0.2794894041
87	0.2783390349
88	0.277705686
89	0.2773116722
90	0.27524459
91	0.273661358
92	0.2723712882
93	0.2715989563
94	0.2702553404
95	0.2695166465
96	0.2685441093
97	0.2678082238
98	0.2661507885
99	0.264178005
