iter	Passed	Remaining
0	8	809
1	14	713
2	21	693
3	27	669
4	34	655
5	41	642
6	47	631
7	54	624
8	60	614
9	67	604
10	73	595
11	80	586
12	86	578
13	92	571
14	99	564
15	105	556
16	112	548
17	119	542
18	125	535
19	132	528
20	138	521
21	144	514
22	152	509
23	158	502
24	165	495
25	171	488
26	178	481
27	184	475
28	191	467
29	198	462
30	205	456
31	211	449
32	218	443
33	224	436
34	231	430
35	240	427
36	247	420
37	254	414
38	260	407
39	268	402
40	274	394
41	281	388
42	287	381
43	294	374
44	301	368
45	307	361
46	315	355
47	321	348
48	328	341
49	335	335
50	343	330
51	350	323
52	356	316
53	364	310
54	370	303
55	377	296
56	384	289
57	390	282
58	397	276
59	404	269
60	411	262
61	417	256
62	424	249
63	431	242
64	437	235
65	444	228
66	450	222
67	457	215
68	464	208
69	471	202
70	478	195
71	485	188
72	492	181
73	499	175
74	505	168
75	512	161
76	519	155
77	525	148
78	532	141
79	538	134
80	545	127
81	552	121
82	559	114
83	566	107
84	572	101
85	579	94
86	586	87
87	593	80
88	600	74
89	607	67
90	614	60
91	621	54
92	628	47
93	635	40
94	642	33
95	648	27
96	655	20
97	661	13
98	668	6
99	675	0
